Date,w/TLREF,PPK,YearEnd,EXP(CBavg-TLREF),Market_Anomaly,NET
2026-03-27,0.000000,0.000000,0.000000,0.261468,0.000000,-1.130000
2026-04-03,0.000000,0.000000,0.000000,1.247372,0.000000,-0.220000
2026-04-10,0.010000,0.000000,0.000000,1.509548,0.000000,-0.220000
2026-04-17,0.080000,0.000000,0.000000,1.664618,0.000000,0.170000
2026-04-24,0.060000,1.000000,0.000000,1.306199,0.000000,-0.090000
2026-05-01,0.020000,0.000000,0.000000,1.503679,0.000000,-0.410000
2026-05-08,0.010000,0.000000,0.000000,1.191674,0.000000,-0.930000
2026-05-15,0.010000,0.000000,0.000000,1.408207,0.000000,1.540000
2026-05-22,0.010000,0.000000,0.000000,1.322782,0.000000,1.000000
2026-05-29,0.000000,0.000000,0.000000,1.108143,0.000000,0.280000
2026-06-05,0.010000,0.000000,0.000000,1.562896,0.000000,0.350000
2026-06-12,0.000000,1.000000,0.000000,1.558129,0.000000,0.070000
2026-06-19,0.010000,0.000000,0.000000,1.573788,0.000000,0.030000
2026-06-26,0.010000,0.000000,0.000000,,0.000000,
